calendar_date,year,month,day_of_month,iso_week,week_start_date,day_of_week,season_window,season_multiplier,is_christmas_window,is_easter_window,is_weekend
2020-01-01,2020,1,1,1,2019-12-30,Wednesday,Christmas,1.85,True,False,False
2020-01-02,2020,1,2,1,2019-12-30,Thursday,Christmas,1.85,True,False,False
2020-01-03,2020,1,3,1,2019-12-30,Friday,Christmas,1.85,True,False,False
2020-01-04,2020,1,4,1,2019-12-30,Saturday,Christmas,1.85,True,False,True
2020-01-05,2020,1,5,1,2019-12-30,Sunday,Christmas,1.85,True,False,True
2020-01-06,2020,1,6,2,2020-01-06,Monday,Christmas,1.85,True,False,False
2020-01-07,2020,1,7,2,2020-01-06,Tuesday,Christmas,1.85,True,False,False
2020-01-08,2020,1,8,2,2020-01-06,Wednesday,Normal,1.0,False,False,False
2020-01-09,2020,1,9,2,2020-01-06,Thursday,Normal,1.0,False,False,False
2020-01-10,2020,1,10,2,2020-01-06,Friday,Normal,1.0,False,False,False
2020-01-11,2020,1,11,2,2020-01-06,Saturday,Normal,1.0,False,False,True
2020-01-12,2020,1,12,2,2020-01-06,Sunday,Normal,1.0,False,False,True
2020-01-13,2020,1,13,3,2020-01-13,Monday,Normal,1.0,False,False,False
2020-01-14,2020,1,14,3,2020-01-13,Tuesday,Normal,1.0,False,False,False
2020-01-15,2020,1,15,3,2020-01-13,Wednesday,Normal,1.0,False,False,False
2020-01-16,2020,1,16,3,2020-01-13,Thursday,Normal,1.0,False,False,False
2020-01-17,2020,1,17,3,2020-01-13,Friday,Normal,1.0,False,False,False
2020-01-18,2020,1,18,3,2020-01-13,Saturday,Normal,1.0,False,False,True
2020-01-19,2020,1,19,3,2020-01-13,Sunday,Normal,1.0,False,False,True
2020-01-20,2020,1,20,4,2020-01-20,Monday,Normal,1.0,False,False,False
2020-01-21,2020,1,21,4,2020-01-20,Tuesday,Normal,1.0,False,False,False
2020-01-22,2020,1,22,4,2020-01-20,Wednesday,Normal,1.0,False,False,False
2020-01-23,2020,1,23,4,2020-01-20,Thursday,Normal,1.0,False,False,False
2020-01-24,2020,1,24,4,2020-01-20,Friday,Normal,1.0,False,False,False
2020-01-25,2020,1,25,4,2020-01-20,Saturday,Normal,1.0,False,False,True
2020-01-26,2020,1,26,4,2020-01-20,Sunday,Normal,1.0,False,False,True
2020-01-27,2020,1,27,5,2020-01-27,Monday,Normal,1.0,False,False,False
2020-01-28,2020,1,28,5,2020-01-27,Tuesday,Normal,1.0,False,False,False
2020-01-29,2020,1,29,5,2020-01-27,Wednesday,Normal,1.0,False,False,False
2020-01-30,2020,1,30,5,2020-01-27,Thursday,Normal,1.0,False,False,False
2020-01-31,2020,1,31,5,2020-01-27,Friday,Normal,1.0,False,False,False
2020-02-01,2020,2,1,5,2020-01-27,Saturday,Normal,1.0,False,False,True
2020-02-02,2020,2,2,5,2020-01-27,Sunday,Normal,1.0,False,False,True
2020-02-03,2020,2,3,6,2020-02-03,Monday,Normal,1.0,False,False,False
2020-02-04,2020,2,4,6,2020-02-03,Tuesday,Normal,1.0,False,False,False
2020-02-05,2020,2,5,6,2020-02-03,Wednesday,Normal,1.0,False,False,False
2020-02-06,2020,2,6,6,2020-02-03,Thursday,Normal,1.0,False,False,False
2020-02-07,2020,2,7,6,2020-02-03,Friday,Normal,1.0,False,False,False
2020-02-08,2020,2,8,6,2020-02-03,Saturday,Normal,1.0,False,False,True
2020-02-09,2020,2,9,6,2020-02-03,Sunday,Normal,1.0,False,False,True
2020-02-10,2020,2,10,7,2020-02-10,Monday,Normal,1.0,False,False,False
2020-02-11,2020,2,11,7,2020-02-10,Tuesday,Normal,1.0,False,False,False
2020-02-12,2020,2,12,7,2020-02-10,Wednesday,Normal,1.0,False,False,False
2020-02-13,2020,2,13,7,2020-02-10,Thursday,Normal,1.0,False,False,False
2020-02-14,2020,2,14,7,2020-02-10,Friday,Normal,1.0,False,False,False
2020-02-15,2020,2,15,7,2020-02-10,Saturday,Normal,1.0,False,False,True
2020-02-16,2020,2,16,7,2020-02-10,Sunday,Normal,1.0,False,False,True
2020-02-17,2020,2,17,8,2020-02-17,Monday,Normal,1.0,False,False,False
2020-02-18,2020,2,18,8,2020-02-17,Tuesday,Normal,1.0,False,False,False
2020-02-19,2020,2,19,8,2020-02-17,Wednesday,Normal,1.0,False,False,False
2020-02-20,2020,2,20,8,2020-02-17,Thursday,Easter,1.32,False,True,False
2020-02-21,2020,2,21,8,2020-02-17,Friday,Easter,1.32,False,True,False
2020-02-22,2020,2,22,8,2020-02-17,Saturday,Easter,1.32,False,True,True
2020-02-23,2020,2,23,8,2020-02-17,Sunday,Easter,1.32,False,True,True
2020-02-24,2020,2,24,9,2020-02-24,Monday,Easter,1.32,False,True,False
2020-02-25,2020,2,25,9,2020-02-24,Tuesday,Easter,1.32,False,True,False
2020-02-26,2020,2,26,9,2020-02-24,Wednesday,Easter,1.32,False,True,False
2020-02-27,2020,2,27,9,2020-02-24,Thursday,Easter,1.32,False,True,False
2020-02-28,2020,2,28,9,2020-02-24,Friday,Easter,1.32,False,True,False
2020-02-29,2020,2,29,9,2020-02-24,Saturday,Easter,1.32,False,True,True
2020-03-01,2020,3,1,9,2020-02-24,Sunday,Easter,1.32,False,True,True
2020-03-02,2020,3,2,10,2020-03-02,Monday,Easter,1.32,False,True,False
2020-03-03,2020,3,3,10,2020-03-02,Tuesday,Easter,1.32,False,True,False
2020-03-04,2020,3,4,10,2020-03-02,Wednesday,Easter,1.32,False,True,False
2020-03-05,2020,3,5,10,2020-03-02,Thursday,Easter,1.32,False,True,False
2020-03-06,2020,3,6,10,2020-03-02,Friday,Easter,1.32,False,True,False
2020-03-07,2020,3,7,10,2020-03-02,Saturday,Easter,1.32,False,True,True
2020-03-08,2020,3,8,10,2020-03-02,Sunday,Easter,1.32,False,True,True
2020-03-09,2020,3,9,11,2020-03-09,Monday,Easter,1.32,False,True,False
2020-03-10,2020,3,10,11,2020-03-09,Tuesday,Easter,1.32,False,True,False
2020-03-11,2020,3,11,11,2020-03-09,Wednesday,Easter,1.32,False,True,False
2020-03-12,2020,3,12,11,2020-03-09,Thursday,Easter,1.32,False,True,False
2020-03-13,2020,3,13,11,2020-03-09,Friday,Easter,1.32,False,True,False
2020-03-14,2020,3,14,11,2020-03-09,Saturday,Easter,1.32,False,True,True
2020-03-15,2020,3,15,11,2020-03-09,Sunday,Easter,1.32,False,True,True
2020-03-16,2020,3,16,12,2020-03-16,Monday,Easter,1.32,False,True,False
2020-03-17,2020,3,17,12,2020-03-16,Tuesday,Easter,1.32,False,True,False
2020-03-18,2020,3,18,12,2020-03-16,Wednesday,Easter,1.32,False,True,False
2020-03-19,2020,3,19,12,2020-03-16,Thursday,Easter,1.32,False,True,False
2020-03-20,2020,3,20,12,2020-03-16,Friday,Easter,1.32,False,True,False
