target_date,year,month,week_start_date,season_window,daily_order_target,actual_orders,daily_assembly_target,actual_assembled,daily_ship_target,actual_shipped_48h,backlog_eod,on_time_ship_rate,target_met_flag
2020-01-01,2020,1,2019-12-30,Christmas,78.0,74,78.0,74,78.0,72,2,0.973,False
2020-01-02,2020,1,2019-12-30,Christmas,78.0,83,78.0,81,78.0,75,10,0.9036,False
2020-01-03,2020,1,2019-12-30,Christmas,78.0,81,78.0,84,78.0,76,15,0.9383,False
2020-01-04,2020,1,2019-12-30,Christmas,78.0,57,78.0,62,78.0,60,12,1.0526,False
2020-01-05,2020,1,2019-12-30,Christmas,78.0,60,78.0,67,78.0,60,12,1.0,False
2020-01-06,2020,1,2020-01-06,Christmas,78.0,91,78.0,93,78.0,84,19,0.9231,True
2020-01-07,2020,1,2020-01-06,Christmas,78.0,67,78.0,71,78.0,68,18,1.0149,False
2020-01-08,2020,1,2020-01-06,Normal,42.0,30,42.0,35,42.0,35,13,1.1667,False
2020-01-09,2020,1,2020-01-06,Normal,42.0,51,42.0,58,42.0,55,9,1.0784,True
2020-01-10,2020,1,2020-01-06,Normal,42.0,41,42.0,45,42.0,45,5,1.0976,True
2020-01-11,2020,1,2020-01-06,Normal,42.0,30,42.0,33,42.0,31,4,1.0333,False
2020-01-12,2020,1,2020-01-06,Normal,42.0,36,42.0,38,42.0,37,3,1.0278,False
2020-01-13,2020,1,2020-01-13,Normal,42.0,40,42.0,41,42.0,39,4,0.975,False
2020-01-14,2020,1,2020-01-13,Normal,42.0,37,42.0,38,42.0,36,5,0.973,False
2020-01-15,2020,1,2020-01-13,Normal,42.0,52,42.0,55,42.0,52,5,1.0,True
2020-01-16,2020,1,2020-01-13,Normal,42.0,47,42.0,53,42.0,53,0,1.1277,True
2020-01-17,2020,1,2020-01-13,Normal,42.0,45,42.0,41,42.0,40,5,0.8889,False
2020-01-18,2020,1,2020-01-13,Normal,42.0,28,42.0,32,42.0,31,2,1.1071,False
2020-01-19,2020,1,2020-01-13,Normal,42.0,45,42.0,43,42.0,40,7,0.8889,False
2020-01-20,2020,1,2020-01-20,Normal,42.0,31,42.0,37,42.0,36,2,1.1613,False
2020-01-21,2020,1,2020-01-20,Normal,42.0,43,42.0,42,42.0,41,4,0.9535,False
2020-01-22,2020,1,2020-01-20,Normal,42.0,50,42.0,51,42.0,49,5,0.98,True
2020-01-23,2020,1,2020-01-20,Normal,42.0,51,42.0,55,42.0,55,1,1.0784,True
2020-01-24,2020,1,2020-01-20,Normal,42.0,39,42.0,39,42.0,38,2,0.9744,False
2020-01-25,2020,1,2020-01-20,Normal,42.0,43,42.0,44,42.0,41,4,0.9535,False
2020-01-26,2020,1,2020-01-20,Normal,42.0,36,42.0,40,42.0,40,0,1.1111,False
2020-01-27,2020,1,2020-01-27,Normal,42.0,42,42.0,42,42.0,42,0,1.0,True
