lot_month,supplier_id,part_family,country,units_received,units_rejected,supplier_dpmo,on_time_delivery_flag,cert_current_flag,lot_accepted_flag
2020-01-01,SUP_HEAD_1,head,Mexico,610,3,4918.0,True,True,True
2020-01-01,SUP_HEAD_2,head,Vietnam,964,6,6224.1,True,True,True
2020-01-01,SUP_HEAD_3,head,China,737,4,5427.4,True,True,True
2020-01-01,SUP_LIMB_1,limb,Mexico,764,1,1308.9,True,True,True
2020-01-01,SUP_LIMB_2,limb,Vietnam,920,6,6521.7,True,True,True
2020-01-01,SUP_LIMB_3,limb,China,1106,10,9041.6,True,True,True
2020-01-01,SUP_HAIR_1,hair,India,783,4,5108.6,True,True,True
2020-01-01,SUP_HAIR_2,hair,Vietnam,617,6,9724.5,True,True,True
2020-01-01,SUP_HAIR_3,hair,Bangladesh,663,5,7541.5,True,True,True
2020-01-01,SUP_EYES_1,eyes,Germany,1155,2,1731.6,True,True,True
2020-01-01,SUP_EYES_2,eyes,Japan,599,4,6677.8,True,True,True
2020-01-01,SUP_EYES_3,eyes,China,773,8,10349.3,True,True,True
2020-01-01,SUP_OUTFIT_1,outfit,Mexico,1083,3,2770.1,False,True,True
2020-01-01,SUP_OUTFIT_2,outfit,Bangladesh,883,3,3397.5,True,True,True
2020-01-01,SUP_OUTFIT_3,outfit,Vietnam,1088,6,5514.7,True,True,True
2020-01-01,SUP_GLASSES_1,glasses,Mexico,1109,8,7213.7,True,True,True
2020-01-01,SUP_GLASSES_2,glasses,China,1082,17,15711.6,True,True,False
2020-01-01,SUP_GLASSES_3,glasses,Germany,684,2,2924.0,True,True,True
2020-01-01,SUP_TORSO_1,torso,USA,972,8,8230.5,True,True,True
2020-01-01,SUP_TORSO_2,torso,Mexico,974,8,8213.6,True,True,True
2020-01-01,SUP_TORSO_3,torso,Vietnam,978,7,7157.5,True,True,True
2020-01-01,SUP_PACKAGING_1,packaging,USA,978,7,7157.5,True,True,True
2020-01-01,SUP_PACKAGING_2,packaging,Mexico,978,5,5112.5,False,True,True
2020-01-01,SUP_PACKAGING_3,packaging,China,667,3,4497.8,True,True,True
2020-02-01,SUP_HEAD_1,head,Mexico,795,7,8805.0,True,True,True
2020-02-01,SUP_HEAD_2,head,Vietnam,726,4,5509.6,True,True,True
2020-02-01,SUP_HEAD_3,head,China,675,5,7407.4,True,True,True
2020-02-01,SUP_LIMB_1,limb,Mexico,1371,8,5835.2,True,True,True
2020-02-01,SUP_LIMB_2,limb,Vietnam,1180,6,5084.7,True,True,True
2020-02-01,SUP_LIMB_3,limb,China,1001,6,5994.0,True,True,True
2020-02-01,SUP_HAIR_1,hair,India,618,2,3236.2,True,True,True
2020-02-01,SUP_HAIR_2,hair,Vietnam,820,0,0.0,False,True,True
2020-02-01,SUP_HAIR_3,hair,Bangladesh,899,7,7786.4,True,True,True
2020-02-01,SUP_EYES_1,eyes,Germany,901,3,3329.6,True,True,True
2020-02-01,SUP_EYES_2,eyes,Japan,870,5,5747.1,True,True,True
2020-02-01,SUP_EYES_3,eyes,China,917,9,9814.6,True,True,True
2020-02-01,SUP_OUTFIT_1,outfit,Mexico,988,10,10121.5,True,True,True
2020-02-01,SUP_OUTFIT_2,outfit,Bangladesh,1190,8,6722.7,True,True,True
2020-02-01,SUP_OUTFIT_3,outfit,Vietnam,1017,4,3933.1,True,True,True
2020-02-01,SUP_GLASSES_1,glasses,Mexico,816,6,7352.9,True,True,True
2020-02-01,SUP_GLASSES_2,glasses,China,406,3,7389.2,True,True,True
2020-02-01,SUP_GLASSES_3,glasses,Germany,629,3,4769.5,True,True,True
2020-02-01,SUP_TORSO_1,torso,USA,1058,11,10397.0,True,True,True
2020-02-01,SUP_TORSO_2,torso,Mexico,1239,4,3228.4,True,True,True
